,player_name,height,weight,birth_date,active_from,active_to,position,years_played_NBA,college,NBA_g_played,NBA_per,NBA_fg%,NBA_ppg,NBA_ft%,NBA_fgpg,NBA_fgapg,NBA_ftpg,NBA_ftapg,NBA_3ptpg,NBA_3ptapg,NBA_3pt%,NBA_efg%,NCAA_fg%,NCAA_games,NCAA_ppg,NCAA_ft,NCAA_fgpg,NCAA_fgapg,NCAA_ftpg,NCAA_ftapg,NCAA_3ptpg,NCAA_3ptapg,NCAA_3pt%,go_college
134,Joe Arlauckas,81,230.0,1965-07-20,1988,1988,F,0,Niagara University,9,7.9,0.326,3.8,0.75,1.6,4.8,0.7,0.9,0.0,0.0,0.0,0.326,0.507,112.0,14.4,0.644,6.1,12.1,2.1,3.2,,,0.25,True
135,B.J. Armstrong,74,175.0,1967-09-09,1990,2000,G,10,Iowa,747,14.5,0.477,9.8,0.856,3.8,8.0,1.6,1.9,0.6,1.4,0.425,0.513,0.492,130.0,13.1,0.831,4.5,9.1,3.1,3.7,,,0.443,True
136,Bob Armstrong,80,220.0,1933-06-17,1957,1957,C-F,0,Michigan State,19,7.8,0.297,1.5,0.5,0.6,1.9,0.3,0.6,0.0,0.0,0.0,,0.368,65.0,8.7,0.653,3.2,8.8,2.2,3.3,0.0,0.0,0.0,True
137,Brandon Armstrong,77,188.0,1980-06-16,2002,2004,G,2,Pepperdine,108,4.9,0.352,2.2,0.6,0.9,2.7,0.1,0.2,0.2,0.7,0.333,0.395,0.439,65.0,18.1,0.824,6.6,15.1,2.7,3.2,2.2,5.6,0.391,True
138,Curly Armstrong,71,170.0,1918-11-01,1949,1951,G-F,2,Indiana,153,-,0.295,6.8,0.692,2.3,7.7,2.3,3.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
139,Darrell Armstrong,72,170.0,1968-06-22,1995,2008,G,13,Fayetteville State University,840,16.3,0.409,9.2,0.871,3.2,7.7,1.7,2.0,1.1,3.3,0.334,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
140,Hilton Armstrong,83,235.0,1984-11-11,2007,2014,F-C,7,UConn,292,9.9,0.501,3.0,0.582,1.2,2.4,0.6,1.1,0.0,0.0,0.286,0.502,0.563,131.0,4.7,0.578,1.7,3.1,1.2,2.1,0.0,0.0,0.333,True
141,Tate Armstrong,75,175.0,1955-10-05,1978,1979,G,1,Duke,92,9.9,0.454,3.8,0.8,1.7,3.8,0.3,0.4,0.0,0.0,0.0,,0.519,83.0,15.7,0.804,6.4,12.3,3.0,3.7,0.0,0.0,0.0,True
142,Jesse Arnelle,77,220.0,1933-12-30,1956,1956,F,0,Penn State,31,12.6,0.317,4.7,0.623,1.7,5.3,1.4,2.2,0.0,0.0,0.0,,,102.0,21.0,0.667,7.2,,6.5,9.7,0.0,0.0,0.0,True
143,Jay Arnette,74,175.0,1938-12-19,1964,1966,G,2,Texas,114,7.7,0.365,3.7,0.76,1.4,3.9,0.9,1.1,0.0,0.0,0.0,,0.448,62.0,14.9,0.73,5.4,12.0,4.1,5.7,0.0,0.0,0.0,True
144,Bob Arnzen,77,205.0,1947-11-03,1970,1974,F,4,Notre Dame,111,13.6,0.465,4.0,0.8,1.7,3.7,0.5,0.7,0.0,0.1,0.2,0.466,0.485,82.0,20.3,0.804,8.1,16.8,4.1,5.0,0.0,0.0,0.0,True
145,Carlos Arroyo,74,202.0,1979-07-30,2002,2011,G,9,Florida International University,569,13.4,0.438,6.6,0.806,2.5,5.7,1.4,1.7,0.2,0.7,0.338,0.459,0.445,100.0,16.0,0.703,5.6,12.6,3.0,4.3,1.7,5.1,0.34,True
146,Darrell Arthur,81,235.0,1988-03-25,2009,2018,F,9,Kansas,503,12.2,0.444,6.5,0.765,2.7,6.2,0.7,0.9,0.3,0.9,0.352,0.47,0.541,78.0,11.3,0.676,4.7,8.7,1.8,2.7,0.0,0.2,0.118,True
147,John Arthurs,76,185.0,1947-08-15,1970,1970,G,0,Tulane,11,11.3,0.343,3.2,0.733,1.1,3.2,1.0,1.4,0.0,0.0,0.0,,0.483,74.0,20.3,0.689,8.3,17.2,3.7,5.4,0.0,0.0,0.0,True
148,Jamel Artis,79,213.0,1993-01-12,2018,2018,G-F,0,Pitt,15,6.9,0.392,5.1,0.583,2.1,5.3,0.5,0.8,0.5,1.9,0.276,0.443,0.47,135.0,12.6,0.759,4.3,9.1,2.7,3.6,1.3,3.3,0.378,True
