,Unnamed: 0,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA_fg%,NBA_g_played,NBA_ppg,NBA_ft%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft_per_g,NBA_fta_p_g,NBA__3ptpg,NBA__3ptapg,NBA__3ptpct,NBA_efgpct,NCAA_fgpct,NCAA_games,NCAA_ppg,NCAA_ft,NCAA_fgpg,NCAA_fgapg,NCAA_ftpg,NCAA_ftapg,NCAA__3ptpg,NCAA__3ptapg,NCAA__3ptpct
2715,2715,/players/m/maconma01.html,Mark Macon,1992,1999,G,Temple,6-5,185.0,"April 14, 1969",0.384,251.0,6.7,0.735,2.8,7.2,1.0,1.4,0.1,0.5,0.27,0.394,0.423,126.0,20.7,0.779,7.8,18.4,3.2,4.1,2.0,5.2,0.374
2716,2716,/players/m/macurjp01.html,J.P. Macura,2019,2020,G,Xavier,6-5,203.0,"June 5, 1995",0.333,3.0,2.0,,1.0,3.0,0.0,0.0,0.0,1.3,0.0,0.333,0.448,141.0,10.6,0.798,3.5,7.8,2.3,2.8,1.3,3.7,0.352
2717,2717,/players/m/macyky01.html,Kyle Macy,1981,1987,G,"Purdue, Kentucky",6-3,175.0,"April 9, 1957",0.501,551.0,9.5,0.873,3.9,7.9,1.3,1.5,0.3,1.0,0.337,0.523,0.514,124.0,14.4,0.883,5.5,10.7,3.4,3.8,,,
2718,2718,/players/m/maddoja01.html,Jack Maddox,1949,1949,F-G,West Texas A&M University,6-3,185.0,"December 10, 1919",,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2719,2719,/players/m/maddoti01.html,Tito Maddox,2003,2003,G,Fresno State,6-4,190.0,"June 7, 1981",0.25,9.0,1.2,0.625,0.3,1.3,0.6,0.9,0.0,0.3,0.0,0.25,0.391,25.0,13.5,0.703,4.4,11.2,3.9,5.5,0.8,2.8,0.286
2720,2720,/players/m/madkige01.html,Gerald Madkins,1994,1998,G,UCLA,6-4,200.0,"April 18, 1969",0.366,48.0,1.7,0.762,0.5,1.5,0.3,0.4,0.3,0.7,0.375,0.451,0.52,123.0,7.6,0.725,2.6,5.0,1.5,2.0,1.0,2.4,0.399
2721,2721,/players/m/madsema01.html,Mark Madsen,2001,2009,F,Stanford,6-9,240.0,"January 28, 1976",0.457,453.0,2.2,0.527,0.8,1.8,0.5,0.9,0.0,0.0,0.063,0.457,0.587,108.0,10.9,0.596,4.0,6.8,3.0,5.0,0.0,0.0,0.0
2722,2722,/players/m/magerno01.html,Norm Mager,1951,1951,F,City College of New York,6-5,185.0,"March 23, 1926",0.282,24.0,5.2,0.786,1.7,5.9,1.8,2.3,,,,,,,,,,,,,,,
2723,2723,/players/m/magetjo01.html,Josh Magette,2018,2020,G,Alabama-Huntsville,6-1,160.0,"November 28, 1989",0.328,26.0,2.2,0.9,0.8,2.3,0.3,0.4,0.3,1.0,0.346,0.402,,,,,,,,,,,
2724,2724,/players/m/maggeco01.html,Corey Maggette,2000,2013,F,Duke,6-6,218.0,"November 12, 1979",0.453,827.0,16.0,0.822,4.9,10.8,5.6,6.8,0.6,1.7,0.324,0.479,0.525,39.0,10.6,0.716,3.5,6.7,2.8,4.0,0.7,2.2,0.345
2725,2725,/players/m/magleda01.html,Dave Magley,1983,1983,F,Kansas,6-8,202.0,"November 24, 1959",0.25,14.0,0.9,0.5,0.3,1.1,0.3,0.6,0.0,0.1,0.0,0.25,,,,,,,,,,,
2726,2726,/players/m/magloja01.html,Jamaal Magloire,2001,2012,C,Kentucky,6-11,259.0,"May 21, 1978",0.48,680.0,7.2,0.639,2.6,5.4,2.0,3.2,0.0,0.0,0.0,0.48,0.503,145.0,7.3,0.636,2.7,5.4,1.9,3.0,0.0,0.0,
2727,2727,/players/m/magnawi01.html,Will Magnay,2021,2021,C,Tulsa,6-10,234.0,"June 10, 1998",0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.578,32.0,3.9,0.571,1.5,2.6,0.9,1.5,0.0,0.0,0.0
2728,2728,/players/m/mahafra01.html,Randolph Mahaffey,1968,1971,F,Clemson,6-7,210.0,"September 28, 1945",0.445,321.0,11.9,0.684,4.6,10.3,2.7,3.9,0.0,0.0,0.0,0.445,0.482,73.0,16.0,0.677,5.8,12.1,4.4,6.5,,,
2730,2730,/players/m/mahnkjo01.html,John Mahnken,1947,1953,C,Georgetown,6-8,220.0,"June 16, 1922",0.272,414.0,5.8,0.65,2.3,8.6,1.1,1.7,,,,,,,,,,,,,,,
2731,2731,/players/m/mahonbr01.html,Brian Mahoney,1973,1973,G,Manhattan College,6-3,175.0,"December 17, 1948",0.298,19.0,3.1,0.6,0.9,3.0,1.3,2.1,0.0,0.1,0.0,0.298,0.449,72.0,17.9,0.663,6.6,14.6,4.8,7.2,,,
2732,2732,/players/m/mahonmo01.html,Mo Mahoney,1953,1954,F,Brown University,6-2,205.0,"November 20, 1927",0.333,8.0,1.5,0.8,0.5,1.5,0.5,0.6,,,,,,,,,,,,,,,
2733,2733,/players/m/mahorri01.html,Rick Mahorn,1981,1999,C-F,Hampton,6-10,240.0,"September 21, 1958",0.493,1117.0,6.9,0.704,2.8,5.6,1.4,2.0,0.0,0.0,0.132,0.493,,,,,,,,,,,
2734,2734,/players/m/majerda01.html,Dan Majerle,1989,2002,G-F,Central Michigan University,6-6,215.0,"September 9, 1965",0.431,955.0,11.4,0.741,4.1,9.6,1.7,2.4,1.4,4.0,0.358,0.505,0.536,94.0,21.8,0.631,8.4,15.7,4.4,7.0,,,0.431
2735,2735,/players/m/majorre01.html,Renaldo Major,2007,2007,F,"South Plains College, Fresno State",6-7,200.0,"May 7, 1982",0.2,1.0,5.0,0.5,2.0,10.0,1.0,2.0,0.0,0.0,,0.2,0.477,41.0,10.2,0.795,3.5,7.3,2.6,3.2,0.7,1.6,0.424
2737,2737,/players/m/malamli01.html,Lionel Malamed,1949,1949,G,City College of New York,5-9,150.0,"November 15, 1924",0.334,44.0,5.9,0.831,2.2,6.6,1.5,1.8,,,,,,17.0,3.2,,1.3,,0.6,,,,
2739,2739,/players/m/malonje01.html,Jeff Malone,1984,1996,G,Mississippi State,6-4,205.0,"June 28, 1961",0.484,905.0,19.0,0.871,7.8,16.2,3.3,3.7,0.1,0.4,0.268,0.487,0.512,110.0,19.5,0.809,8.2,16.1,3.0,3.7,,,
2740,2740,/players/m/malonka01.html,Karl Malone,1986,2004,F,Louisiana Tech,6-9,250.0,"July 24, 1963",0.516,1476.0,25.0,0.742,9.2,17.8,6.6,8.9,0.1,0.2,0.274,0.518,0.566,92.0,18.7,0.631,7.1,12.5,4.5,7.1,,,
2742,2742,/players/m/malonma01.html,Matt Maloney,1997,2003,G,"Vanderbilt, Penn",6-3,192.0,"December 6, 1971",0.408,295.0,7.4,0.797,2.7,6.5,0.7,0.9,1.4,3.6,0.372,0.512,0.419,113.0,12.1,0.793,4.1,9.8,1.5,1.8,2.4,6.0,0.405
2743,2743,/players/m/malovst01.html,Steve Malovic,1980,1980,F,"USC, San Diego State",6-10,230.0,"July 21, 1956",0.463,39.0,2.1,0.667,0.8,1.7,0.5,0.7,0.0,0.0,,0.463,0.546,106.0,11.9,0.797,4.8,8.8,2.4,3.0,,,
2744,2744,/players/m/maloymi01.html,Mike Maloy,1971,1973,F,Davidson,6-7,215.0,"May 10, 1949",0.424,71.0,6.2,0.702,2.4,5.6,1.5,2.1,0.0,0.0,0.0,0.424,,,,,,,,,,,
2745,2745,/players/m/mamuksa01.html,Sandro Mamukelashvili,2022,2022,F,Seton Hall,6-11,240.0,"May 23, 1999",0.467,7.0,2.7,0.667,1.0,2.1,0.3,0.4,0.4,0.9,0.5,0.567,0.459,115.0,9.6,0.663,3.5,7.6,1.7,2.6,0.9,2.6,0.339
2746,2746,/players/m/manakte01.html,Ted Manakas,1974,1974,G,Princeton,6-2,180.0,"February 22, 1951",0.4,5.0,2.4,1.0,0.8,2.0,0.8,0.8,,,,,,,,,,,,,,,
2747,2747,/players/m/mandijo01.html,John Mandic,1949,1950,F-C,Oregon State,6-4,205.0,"October 3, 1919",0.316,81.0,4.1,0.66,1.5,4.7,1.2,1.8,,,,,,,,,,,,,,,
2748,2748,/players/m/maneka01.html,Karim Mané,2021,2021,G,Vanier College,6-3,190.0,"May 16, 2000",0.231,10.0,1.1,0.8,0.3,1.3,0.4,0.5,0.1,0.2,0.5,0.269,,,,,,,,,,,
2749,2749,/players/m/mangifr01.html,Frank Mangiapane,1947,1947,G,NYU,5-10,195.0,"August 5, 1925",0.154,6.0,0.8,0.333,0.3,2.2,0.2,0.5,,,,,,,,,,,,,,,
2750,2750,/players/m/mannte01.html,Terance Mann,2020,2022,G-F,Florida State,6-5,215.0,"October 18, 1996",0.493,115.0,5.6,0.785,2.1,4.3,0.9,1.2,0.5,1.2,0.396,0.547,0.552,140.0,9.4,0.67,3.6,6.5,1.8,2.8,0.4,1.2,0.327
2751,2751,/players/m/manntr01.html,Tre Mann,2022,2022,G,Florida,6-5,190.0,"February 3, 2001",0.435,5.0,4.8,0.25,2.0,4.6,0.2,0.8,0.6,1.8,0.333,0.5,0.422,53.0,10.2,0.788,3.6,8.5,1.8,2.2,1.3,3.6,0.349
2752,2752,/players/m/mannida01.html,Danny Manning,1989,2003,F-C,Kansas,6-10,230.0,"May 17, 1966",0.511,883.0,14.0,0.729,5.7,11.1,2.6,3.5,0.0,0.2,0.206,0.513,0.593,147.0,20.1,0.74,8.3,13.9,3.5,4.7,,,0.345
2753,2753,/players/m/mannied01.html,Ed Manning,1968,1976,F,Jackson State University,6-7,210.0,"January 2, 1944",0.448,604.0,5.9,0.764,2.5,5.6,0.8,1.1,0.0,0.0,0.125,0.448,,,,,,,,,,,
2754,2754,/players/m/mannigu01.html,Guy Manning,1968,1969,F,Prairie View A&M University,6-6,195.0,"February 4, 1944",0.39,73.0,8.3,0.576,3.2,8.2,1.9,3.2,0.0,0.1,0.25,0.392,,,,,,,,,,,
2755,2755,/players/m/manniri01.html,Rich Manning,1996,1997,C,"Syracuse, Washington",6-11,253.0,"June 23, 1970",0.415,55.0,3.3,0.643,1.5,3.5,0.3,0.5,0.0,0.1,0.4,0.421,0.55,121.0,9.5,0.738,4.0,7.3,1.5,2.1,0.0,0.0,0.25
2756,2756,/players/m/mannini01.html,Nico Mannion,2021,2021,G,Arizona,6-2,190.0,"March 14, 2001",0.342,30.0,4.1,0.821,1.3,3.8,0.8,0.9,0.7,2.0,0.367,0.439,0.392,32.0,14.0,0.797,4.5,11.5,3.3,4.2,1.7,5.1,0.327
2757,2757,/players/m/mannipa01.html,Pace Mannion,1984,1989,G,Utah,6-7,190.0,"September 22, 1960",0.413,216.0,3.1,0.663,1.2,2.9,0.6,0.9,0.1,0.4,0.203,0.425,0.451,116.0,8.8,0.724,3.3,7.3,2.1,3.0,,,
2758,2758,/players/m/mantini01.html,Nick Mantis,1960,1963,G,Northwestern,6-3,190.0,"December 7, 1935",0.367,52.0,4.5,0.549,2.0,5.4,0.5,1.0,,,,,,,,,,,,,,,
2759,2759,/players/m/maravpe01.html,Pete Maravich,1971,1980,G,LSU,6-5,197.0,"June 22, 1947",0.441,658.0,24.2,0.82,9.4,21.3,5.4,6.6,0.2,0.3,0.667,0.441,0.438,83.0,44.2,0.775,16.7,38.1,10.8,13.9,,,
2760,2760,/players/m/maravpr01.html,Press Maravich,1947,1947,G,Davis & Elkins College,6-0,185.0,"August 29, 1915",0.272,51.0,4.6,0.517,2.0,7.4,0.6,1.1,,,,,,,,,,,,,,,
2761,2761,/players/m/marblde01.html,Devyn Marble,2015,2016,G-F,Iowa,6-6,200.0,"September 21, 1992",0.304,44.0,2.2,0.375,0.8,2.6,0.3,0.9,0.3,1.2,0.222,0.357,0.415,136.0,12.5,0.726,4.1,10.0,3.2,4.4,1.0,2.9,0.338
2762,2762,/players/m/marblro01.html,Roy Marble,1990,1994,G-F,Iowa,6-6,190.0,"December 13, 1966",0.257,29.0,1.9,0.594,0.6,2.4,0.7,1.1,0.0,0.1,0.0,0.257,0.539,134.0,15.8,0.73,5.9,10.9,3.9,5.3,,,0.342
2763,2763,/players/m/marbust01.html,Stephon Marbury,1997,2009,G,Georgia Tech,6-2,180.0,"February 20, 1977",0.433,846.0,19.3,0.784,6.8,15.7,4.5,5.7,1.2,3.6,0.325,0.47,0.457,36.0,18.9,0.738,6.5,14.3,3.4,4.6,2.4,6.6,0.37
2765,2765,/players/m/mariasa01.html,Saul Mariaschin,1948,1948,G,Harvard University,5-11,165.0,"September 1, 1924",0.27,43.0,7.7,0.709,2.9,10.8,1.9,2.7,,,,,,,,,,,,,,,
2766,2766,/players/m/marinja01.html,Jack Marin,1967,1977,F-G,Duke,6-7,200.0,"October 12, 1944",0.465,849.0,14.8,0.843,6.0,12.8,2.8,3.4,,,,,0.5,86.0,14.9,0.753,6.0,11.9,2.9,3.9,,,
2767,2767,/players/m/mariosh01.html,Shawn Marion,2000,2015,F,"Vincennes University, UNLV",6-7,220.0,"May 7, 1978",0.484,1163.0,15.2,0.81,6.3,12.9,2.0,2.5,0.7,2.1,0.331,0.51,0.529,29.0,18.7,0.73,7.6,14.4,2.8,3.8,0.7,2.3,0.299
2769,2769,/players/m/markkla01.html,Lauri Markkanen,2018,2022,F-C,Arizona,7-0,240.0,"May 22, 1997",0.437,229.0,15.5,0.846,5.5,12.5,2.3,2.7,2.2,6.1,0.363,0.525,0.492,37.0,15.6,0.835,5.0,10.2,3.7,4.4,1.9,4.4,0.423
2771,2771,/players/m/marksse01.html,Sean Marks,1999,2011,F-C,California,6-10,250.0,"August 23, 1975",0.448,230.0,2.8,0.665,1.1,2.5,0.5,0.8,0.0,0.1,0.2,0.452,0.487,86.0,6.5,0.669,2.5,5.1,1.4,2.1,0.1,0.3,0.4
2772,2772,/players/m/marlaha01.html,Harvey Marlatt,1971,1973,G,Eastern Michigan,6-3,185.0,"August 26, 1948",0.373,61.0,3.7,0.85,1.4,3.8,0.8,1.0,,,,,,,,,,,,,,,
2773,2773,/players/m/marshji01.html,Jim Marsh,1972,1972,F,USC,6-7,215.0,"April 26, 1946",0.333,39.0,3.1,0.695,1.0,3.0,1.1,1.5,,,,,,,,,,,,,,,
2774,2774,/players/m/marshri01.html,Ricky Marsh,1978,1978,G,Manhattan College,6-3,200.0,"March 10, 1954",0.426,60.0,4.5,0.697,2.1,4.8,0.4,0.6,,,,,,,,,,,,,,,
2775,2775,/players/m/marshdo02.html,Donny Marshall,1996,2003,F,UConn,6-7,230.0,"July 17, 1972",0.321,119.0,2.5,0.681,0.7,2.3,0.6,0.9,0.4,1.1,0.336,0.399,0.474,121.0,9.9,0.791,3.5,7.4,2.5,3.2,0.4,1.3,0.302
2776,2776,/players/m/marshdo01.html,Donyell Marshall,1995,2009,F,UConn,6-9,218.0,"May 18, 1973",0.435,957.0,11.2,0.731,4.3,9.8,1.7,2.3,0.9,2.7,0.35,0.483,0.487,91.0,18.1,0.77,6.6,13.5,4.1,5.4,0.8,2.7,0.306
2777,2777,/players/m/marshke01.html,Kendall Marshall,2013,2016,G,UNC,6-4,200.0,"August 19, 1991",0.399,160.0,5.0,0.611,2.0,4.9,0.3,0.5,0.8,2.2,0.37,0.48,0.446,73.0,7.2,0.693,2.5,5.6,1.5,2.2,0.7,1.8,0.366
2778,2778,/players/m/marshna01.html,Naji Marshall,2021,2022,F,Xavier,6-7,220.0,"January 24, 1998",0.384,41.0,6.6,0.724,2.2,5.7,1.5,2.1,0.7,2.3,0.323,0.448,0.439,99.0,12.9,0.725,4.6,10.4,2.7,3.7,1.1,3.7,0.289
2779,2779,/players/m/marshra01.html,Rawle Marshall,2006,2007,G-F,"Ball State University, Oakland",6-9,190.0,"February 20, 1982",0.376,63.0,2.7,0.716,0.9,2.4,0.8,1.2,0.1,0.3,0.238,0.393,0.445,103.0,16.5,0.727,5.6,12.7,4.2,5.8,1.0,3.4,0.311
2780,2780,/players/m/marshto01.html,Tom Marshall,1955,1959,F-G,Western Kentucky,6-4,215.0,"January 6, 1931",0.388,168.0,5.7,0.709,2.1,5.4,1.5,2.0,,,,,,,,,,,,,,,
2781,2781,/players/m/marshve01.html,Vester Marshall,1974,1974,F,Oklahoma,6-7,200.0,"December 22, 1948",0.241,13.0,1.3,0.429,0.5,2.2,0.2,0.5,,,,,,,,,,,,,,,
2782,2782,/players/m/martibi01.html,Bill Martin,1986,1988,F,Georgetown,6-7,205.0,"August 16, 1962",0.449,84.0,4.7,0.813,2.0,4.5,0.7,0.9,0.0,0.1,0.0,0.449,0.519,142.0,9.2,0.689,3.6,6.9,2.1,3.0,,,
2783,2783,/players/m/martibo01.html,Bob Martin,1994,1995,C,Minnesota,7-0,250.0,"October 7, 1969",0.441,54.0,2.1,0.608,0.8,1.7,0.6,0.9,0.0,0.0,,0.441,0.612,119.0,4.6,0.577,1.8,3.0,0.9,1.6,0.0,0.0,
2784,2784,/players/m/martibr01.html,Brian Martin,1986,1986,F,Kansas,6-9,212.0,"August 18, 1962",0.429,8.0,0.8,0.0,0.4,0.9,0.0,0.3,0.0,0.0,,0.429,0.507,84.0,4.2,0.585,1.7,3.3,0.8,1.4,,,
2785,2785,/players/m/martica02.html,Caleb Martin,2020,2022,F,"NC State, Nevada",6-5,205.0,"September 28, 1995",0.398,75.0,5.3,0.674,1.9,4.7,0.8,1.2,0.7,2.2,0.313,0.472,0.414,139.0,13.6,0.725,4.4,10.5,2.6,3.6,2.2,6.2,0.359
2786,2786,/players/m/martica01.html,Cartier Martin,2009,2015,F,Kansas State,6-7,220.0,"November 20, 1984",0.392,243.0,5.1,0.729,1.8,4.5,0.6,0.9,0.9,2.4,0.372,0.491,0.458,112.0,13.8,0.78,4.6,10.1,2.9,3.8,1.6,4.0,0.399
2787,2787,/players/m/martico01.html,Cody Martin,2020,2022,G-F,"NC State, Nevada",6-5,205.0,"September 28, 1995",0.44,109.0,4.8,0.649,1.8,4.1,0.8,1.2,0.4,1.4,0.276,0.487,0.501,122.0,9.7,0.689,3.7,7.4,1.9,2.7,0.4,1.3,0.325
2788,2788,/players/m/marticu01.html,Cuonzo Martin,1996,1997,G-F,Purdue,6-5,213.0,"September 23, 1971",0.25,7.0,1.3,0.0,0.4,1.7,0.0,0.3,0.4,0.7,0.6,0.375,0.472,127.0,13.1,0.777,4.6,9.7,2.6,3.3,1.4,3.1,0.451
2789,2789,/players/m/martida01.html,Darrick Martin,1995,2008,G,UCLA,5-11,170.0,"March 6, 1971",0.382,514.0,6.9,0.843,2.3,6.0,1.6,1.9,0.7,2.0,0.34,0.438,0.458,129.0,9.3,0.754,3.1,6.9,2.4,3.2,0.5,1.7,0.322
2790,2790,/players/m/martidi01.html,Dino Martin,1947,1948,G,Georgetown,5-8,160.0,"May 25, 1920",0.294,92.0,9.1,0.638,3.9,13.2,1.3,2.0,,,,,,,,,,,,,,,
2791,2791,/players/m/martido01.html,Don Martin,1947,1949,C-F,Central Missouri State University,6-7,210.0,"February 7, 1920",0.282,137.0,3.0,0.523,1.3,4.6,0.4,0.8,,,,,,,,,,,,,,,
2793,2793,/players/m/martija01.html,Jarell Martin,2016,2019,F,LSU,6-10,239.0,"May 24, 1994",0.434,184.0,5.4,0.766,2.0,4.7,1.0,1.3,0.3,1.0,0.346,0.47,0.494,65.0,13.7,0.689,5.0,10.1,3.1,4.5,0.6,2.0,0.308
2794,2794,/players/m/martije01.html,Jeff Martin,1990,1991,G,Murray State,6-5,195.0,"January 14, 1967",0.417,143.0,6.7,0.694,2.7,6.4,1.1,1.6,0.2,0.7,0.282,0.433,0.522,117.0,21.2,0.766,7.9,15.2,4.6,6.0,,,0.449
2795,2795,/players/m/martije02.html,Jeremiah Martin,2020,2021,G,Memphis,6-3,185.0,"June 19, 1996",0.384,18.0,4.8,0.632,1.8,4.8,0.7,1.1,0.4,1.7,0.267,0.43,0.441,124.0,13.1,0.745,4.2,9.5,3.6,4.8,1.2,3.6,0.325
2796,2796,/players/m/martike03.html,Kelan Martin,2020,2022,F,Butler,6-5,230.0,"August 3, 1995",0.42,68.0,5.4,0.929,2.0,4.8,0.6,0.6,0.8,2.4,0.325,0.5,0.437,136.0,15.1,0.786,5.2,12.0,2.9,3.7,1.6,4.7,0.348
2797,2797,/players/m/martike01.html,Kenyon Martin,2001,2015,F,Cincinnati,6-9,234.0,"December 30, 1977",0.483,757.0,12.3,0.629,5.1,10.6,2.0,3.2,0.1,0.4,0.234,0.487,0.586,116.0,11.0,0.581,4.4,7.5,2.2,3.7,0.0,0.1,0.222
2799,2799,/players/m/martike02.html,Kevin Martin,2005,2016,G,Western Carolina University,6-7,199.0,"February 1, 1983",0.437,714.0,17.4,0.87,5.4,12.3,5.0,5.7,1.6,4.2,0.384,0.502,0.462,79.0,23.3,0.841,7.2,15.5,6.8,8.0,2.2,6.4,0.346
2800,2800,/players/m/martila01.html,LaRue Martin,1973,1976,C,Loyola Chicago,6-11,208.0,"March 30, 1950",0.416,271.0,5.3,0.685,2.2,5.2,0.9,1.3,,,,,,,,,,,,,,,
2801,2801,/players/m/martima01.html,Maurice Martin,1987,1988,F-G,Saint Joseph's,6-6,200.0,"July 2, 1964",0.378,69.0,3.0,0.598,1.1,2.8,0.8,1.3,0.1,0.3,0.211,0.388,0.516,114.0,15.1,0.737,5.8,11.3,3.3,4.4,,,0.404
2802,2802,/players/m/martiph01.html,Phil Martin,1955,1955,G,Toledo,6-3,190.0,"April 2, 1928",0.263,7.0,1.7,1.0,0.7,2.7,0.3,0.3,,,,,0.401,77.0,16.1,0.672,5.9,14.7,4.3,6.5,,,
2803,2803,/players/m/martisl01.html,Slater Martin,1950,1960,G,Texas,5-10,170.0,"October 22, 1925",0.364,745.0,9.8,0.762,3.5,9.7,2.8,3.7,,,,,,90.0,12.7,1.152,5.3,,2.1,1.8,,,
2804,2804,/players/m/martiwh01.html,Whitey Martin,1962,1962,G,St. Bonaventure,6-2,185.0,"April 11, 1939",0.325,66.0,3.4,0.673,1.4,4.4,0.6,0.8,,,,,,,,,,,,,,,
2805,2805,/players/m/mashbja01.html,Jamal Mashburn,1994,2004,F,Kentucky,6-8,240.0,"November 29, 1972",0.418,611.0,19.1,0.766,7.0,16.7,3.8,5.0,1.3,3.6,0.345,0.456,0.516,98.0,18.8,0.697,6.9,13.3,3.5,5.1,1.5,4.0,0.376
2806,2806,/players/m/masinal01.html,Al Masino,1953,1954,G,Canisius,5-10,174.0,"February 5, 1928",0.346,99.0,4.8,0.625,1.6,4.7,1.6,2.6,,,,,,,,,,,,,,,
2807,2807,/players/m/masonan01.html,Anthony Mason,1990,2003,F,Tennessee State,6-7,250.0,"December 14, 1966",0.509,882.0,10.9,0.709,4.1,8.0,2.8,4.0,0.0,0.0,0.167,0.51,0.461,111.0,18.7,0.713,7.1,15.3,4.1,5.7,,,0.438
2808,2808,/players/m/masonde01.html,Desmond Mason,2001,2010,F,Oklahoma State,6-7,224.0,"October 11, 1977",0.449,643.0,12.1,0.74,4.6,10.2,2.9,3.9,0.1,0.4,0.26,0.454,0.486,129.0,13.2,0.731,4.8,9.8,2.6,3.6,1.0,2.7,0.372
2809,2809,/players/m/masonfr01.html,Frank Mason,2018,2021,G,Kansas,5-11,190.0,"April 3, 1994",0.396,103.0,6.7,0.755,2.4,6.1,1.4,1.9,0.5,1.7,0.301,0.438,0.454,145.0,13.0,0.761,4.2,9.2,3.3,4.4,1.3,3.0,0.42
2810,2810,/players/m/masonro01.html,Roger Mason,2003,2014,G,Virginia,6-5,200.0,"September 10, 1980",0.408,518.0,6.3,0.866,2.3,5.7,0.6,0.7,1.1,3.0,0.383,0.509,0.436,89.0,13.8,0.869,4.4,10.0,3.6,4.1,1.5,4.1,0.375
2811,2811,/players/m/masseto01.html,Tony Massenburg,1991,2005,F,Maryland,6-9,220.0,"July 31, 1967",0.47,683.0,6.2,0.705,2.4,5.1,1.4,2.0,0.0,0.0,0.091,0.47,0.523,112.0,12.1,0.643,4.7,8.9,2.7,4.3,,,0.0
2812,2812,/players/m/masted01.html,Eddie Mast,1971,1973,F-C,Temple,6-9,220.0,"October 3, 1948",0.385,112.0,2.5,0.604,1.0,2.6,0.5,0.8,,,,,,,,,,,,,,,
2813,2813,/players/m/matenya01.html,Yante Maten,2019,2019,F,Georgia,6-8,240.0,"August 14, 1996",0.25,2.0,1.0,,0.5,2.0,0.0,0.0,0.0,0.5,0.0,0.25,0.483,128.0,14.7,0.755,5.1,10.6,4.0,5.4,0.5,1.1,0.403
2814,2814,/players/m/mathega01.html,Garrison Mathews,2020,2021,G,Lipscomb,6-5,215.0,"October 24, 1996",0.413,82.0,5.5,0.891,1.5,3.6,1.4,1.6,1.2,3.0,0.389,0.575,0.446,134.0,18.5,0.789,5.6,12.6,4.5,5.8,2.7,7.2,0.374
2815,2815,/players/m/mathima01.html,Mangok Mathiang,2018,2018,C-F,Louisville,6-10,230.0,"October 8, 1992",0.571,4.0,2.0,0.0,1.0,1.8,0.0,0.3,0.0,0.0,,0.571,0.506,114.0,4.8,0.599,1.8,3.6,1.2,1.9,0.0,0.0,
2816,2816,/players/m/mathida01.html,Dakota Mathias,2021,2021,G,Purdue,6-4,200.0,"July 11, 1995",0.396,8.0,6.0,0.333,2.4,6.0,0.3,0.8,1.0,3.3,0.308,0.479,0.434,141.0,8.1,0.805,2.7,6.3,0.9,1.1,1.8,4.2,0.419
2817,2817,/players/m/mathijo01.html,Johnny Mathis,1968,1968,F,Savannah State University,6-6,220.0,"July 14, 1943",0.371,51.0,3.4,0.636,1.4,3.6,0.7,1.1,0.0,0.0,0.0,0.371,,,,,,,,,,,
2818,2818,/players/m/matthwe01.html,Wes Matthews,1981,1990,G,Wisconsin,6-1,170.0,"August 24, 1959",0.478,465.0,7.9,0.788,3.1,6.6,1.5,1.9,0.1,0.3,0.225,0.484,0.477,69.0,18.1,0.817,7.1,14.9,4.0,4.8,,,
2819,2819,/players/m/matthwe02.html,Wesley Matthews,2010,2021,G,Marquette,6-4,220.0,"October 14, 1986",0.421,849.0,12.6,0.824,4.3,10.2,2.0,2.4,2.0,5.4,0.379,0.521,0.444,127.0,13.2,0.799,4.0,9.1,4.3,5.4,0.8,2.3,0.341
2820,2820,/players/m/maughar01.html,Ariel Maughan,1947,1951,F,Utah State University,6-4,190.0,"February 23, 1923",0.28,259.0,7.9,0.712,2.9,10.3,2.1,3.0,,,,,,,,,,,,,,,
2821,2821,/players/m/maxeyma01.html,Marlon Maxey,1993,1994,F,"Minnesota, Texas-El Paso",6-8,250.0,"February 19, 1969",0.542,98.0,4.9,0.685,1.9,3.4,1.2,1.7,0.0,0.0,0.0,0.542,0.518,85.0,12.1,0.708,4.3,8.3,3.5,4.9,0.0,0.0,
2822,2822,/players/m/maxeyty01.html,Tyrese Maxey,2021,2022,G,Kentucky,6-2,200.0,"November 4, 2000",0.467,69.0,8.7,0.862,3.5,7.5,1.2,1.4,0.5,1.8,0.303,0.503,0.427,31.0,14.0,0.833,4.8,11.3,3.2,3.9,1.1,3.6,0.292
2823,2823,/players/m/maxieja01.html,Jason Maxiell,2006,2015,F,Cincinnati,6-7,260.0,"February 18, 1983",0.495,618.0,5.6,0.564,2.3,4.6,1.1,2.0,0.0,0.0,0.0,0.495,0.507,129.0,12.1,0.653,4.4,8.6,3.4,5.2,0.0,0.1,0.286
2824,2824,/players/m/maxwece01.html,Cedric Maxwell,1978,1988,F,UNC Charlotte,6-8,205.0,"November 21, 1955",0.546,835.0,12.5,0.784,4.1,7.5,4.3,5.5,0.0,0.0,0.053,0.546,0.586,112.0,16.3,0.753,6.0,10.2,4.3,5.7,,,
