,Unnamed: 0,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA_fg%,NBA_g_played,NBA_ppg,NBA_ft%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft_per_g,NBA_fta_p_g,NBA__3ptpg,NBA__3ptapg,NBA__3ptpct,NBA_efgpct,NCAA_fgpct,NCAA_games,NCAA_ppg,NCAA_ft,NCAA_fgpg,NCAA_fgapg,NCAA_ftpg,NCAA_ftapg,NCAA__3ptpg,NCAA__3ptapg,NCAA__3ptpct
28,28,/players/a/adrieje01.html,Jeff Adrien,2011,2015,F,UConn,6-7,245.0,"February 10, 1986",0.474,153.0,4.6,0.628,1.7,3.6,1.2,1.9,0.0,0.0,0.0,0.474,0.515,133.0,12.1,0.606,4.5,8.8,3.0,4.9,0.0,0.0,0.333
29,29,/players/a/afflaar01.html,Arron Afflalo,2008,2018,G-F,UCLA,6-5,210.0,"October 15, 1985",0.45,762.0,10.8,0.825,3.9,8.7,1.8,2.2,1.1,2.9,0.386,0.514,0.457,104.0,14.8,0.781,5.0,10.9,2.8,3.6,2.0,5.4,0.373
30,30,/players/a/agerma01.html,Maurice Ager,2007,2011,G,Michigan State,6-5,202.0,"February 9, 1984",0.339,82.0,2.1,0.566,0.8,2.3,0.4,0.6,0.1,0.5,0.25,0.368,0.441,124.0,12.5,0.775,4.2,9.6,2.5,3.2,1.6,4.3,0.38
31,31,/players/a/aguirma01.html,Mark Aguirre,1982,1994,F-G,DePaul,6-6,232.0,"December 10, 1959",0.484,923.0,20.0,0.741,7.8,16.1,4.0,5.4,0.4,1.4,0.312,0.498,0.546,89.0,24.5,0.768,9.7,17.8,5.1,6.7,,,
32,32,/players/a/ahearbl01.html,Blake Ahearn,2008,2012,G,Missouri State,6-2,190.0,"May 27, 1984",0.273,19.0,4.6,0.97,1.1,4.1,1.7,1.7,0.7,2.5,0.298,0.364,0.423,129.0,13.0,0.946,3.7,8.9,3.4,3.6,2.1,5.2,0.408
33,33,/players/a/aingeda01.html,Danny Ainge,1982,1995,G,BYU,6-4,175.0,"March 17, 1959",0.469,1042.0,11.5,0.846,4.5,9.5,1.6,1.9,1.0,2.5,0.378,0.519,0.526,118.0,20.9,0.816,8.4,15.9,4.2,5.1,,,
34,34,/players/a/aitchma01.html,Matthew Aitch,1968,1968,F,Michigan State,6-7,230.0,"September 21, 1944",0.405,45.0,5.6,0.675,2.2,5.5,1.2,1.7,0.0,0.0,0.0,0.405,,,,,,,,,,,
36,36,/players/a/akinhe01.html,Henry Akin,1967,1969,C-F,Morehead State University,6-10,225.0,"July 31, 1944",0.35,88.0,3.5,0.676,1.5,4.2,0.5,0.8,0.0,1.0,0.0,0.35,0.504,41.0,20.5,0.815,8.1,16.2,4.2,5.1,,,
37,37,/players/a/akognjo01.html,Josh Akognon,2013,2013,G,"Washington State, Cal State Fullerton",5-11,185.0,"February 10, 1986",0.5,3.0,1.7,,0.7,1.3,0.0,0.0,0.3,0.7,0.5,0.625,0.408,119.0,15.2,0.871,5.0,12.3,2.3,2.7,2.8,7.6,0.372
38,38,/players/a/akoonde01.html,DeVaughn Akoon-Purcell,2019,2019,G,Illinois State,6-6,200.0,"June 5, 1993",0.3,7.0,1.0,0.5,0.4,1.4,0.1,0.3,0.0,0.6,0.0,0.3,0.428,60.0,13.5,0.739,4.6,10.7,3.5,4.7,0.8,2.7,0.301
39,39,/players/a/alabiso01.html,Solomon Alabi,2011,2012,C,Florida State,7-1,251.0,"March 21, 1988",0.314,26.0,1.5,0.7,0.6,2.0,0.3,0.4,0.0,0.0,,0.314,0.534,77.0,9.1,0.745,3.5,6.6,2.1,2.9,0.0,0.0,0.0
40,40,/players/a/alarima01.html,Mark Alarie,1987,1991,F,Duke,6-8,217.0,"December 11, 1963",0.475,325.0,7.5,0.775,3.2,6.7,1.0,1.3,0.1,0.4,0.252,0.483,0.55,133.0,16.1,0.797,6.2,11.3,3.6,4.5,,,0.0
41,41,/players/a/alcorga01.html,Gary Alcorn,1960,1961,C,Fresno State,6-9,225.0,"October 8, 1936",0.293,78.0,3.3,0.598,1.3,4.5,0.7,1.2,,,,,0.396,52.0,18.4,0.626,7.4,18.6,3.7,5.9,,,
42,42,/players/a/aldamsa01.html,Santi Aldama,2022,2022,F,Loyola College in Maryland,6-11,224.0,"January 10, 2001",0.375,2.0,4.5,0.667,1.5,4.0,1.0,1.5,0.5,2.0,0.25,0.438,0.495,27.0,19.0,0.639,7.3,14.7,2.8,4.4,1.7,5.4,0.306
44,44,/players/a/aldrico01.html,Cole Aldrich,2011,2018,C,Kansas,6-11,250.0,"October 31, 1988",0.527,339.0,3.1,0.738,1.3,2.4,0.5,0.7,0.0,0.0,,0.527,0.574,111.0,9.4,0.729,3.5,6.1,2.3,3.2,0.0,0.0,
45,45,/players/a/aldrila01.html,LaMarcus Aldridge,2007,2022,F-C,Texas,6-11,250.0,"July 19, 1985",0.492,1036.0,19.3,0.811,7.8,15.9,3.5,4.3,0.2,0.6,0.32,0.498,0.586,53.0,13.5,0.649,5.2,8.9,3.0,4.7,0.0,0.0,
46,46,/players/a/aleksch01.html,Chuck Aleksinas,1985,1985,C,"Kentucky, UConn",6-11,260.0,"February 26, 1959",0.478,74.0,5.1,0.733,2.2,4.6,0.7,1.0,0.0,0.0,0.0,0.478,0.561,96.0,10.1,0.721,3.8,6.8,2.5,3.5,,,
47,47,/players/a/alexacl01.html,Cliff Alexander,2016,2016,F,Kansas,6-8,245.0,"November 16, 1995",0.5,8.0,1.3,,0.6,1.3,0.0,0.0,0.0,0.0,,0.5,0.566,28.0,7.1,0.671,2.6,4.6,1.9,2.8,0.0,0.0,
48,48,/players/a/alexaco01.html,Cory Alexander,1996,2005,G,Virginia,6-1,185.0,"June 22, 1973",0.389,307.0,5.5,0.756,1.9,4.9,0.9,1.1,0.8,2.2,0.354,0.468,0.427,85.0,15.1,0.698,5.4,12.6,2.7,3.8,1.7,5.0,0.336
49,49,/players/a/alexaco02.html,Courtney Alexander,2001,2003,G,"Virginia, Fresno State",6-5,205.0,"April 27, 1977",0.422,187.0,9.0,0.813,3.5,8.3,1.8,2.2,0.2,0.6,0.339,0.435,0.456,112.0,18.9,0.767,7.2,15.8,3.0,3.9,1.5,4.1,0.362
